UserID,clicks_in_last_90_articles,ActivityCentrality,ReceivedNegative,ReceivedPositive,VoteNegative,VotePositive,PostReplied,UserFollowed,GotPostReplied,GotFollowers,PostsAmount,TopicsPostedIn,TopicsDiversity
96418,0.12459506603538523,0.03765833618623758,0.25144747725392885,0.3744990892531876,-0.11744386873920552,-0.14762741652021089,0.8729281767955801,0.0,1.1338582677165354,1.6666666666666667,0.9249169435215947,0.02666666666666667,-0.981573852350624
96500,0.9170196860204353,-0.40807942485450194,-0.10918114143920596,-0.16612021857923498,-0.14162348877374784,-0.17262253466119898,-0.143646408839779,0.3333333333333333,-0.14698162729658792,0.0,-0.11827242524916944,-0.4533333333333333,0.8238275300799034
96522,1.4144031896336895,-0.3772680588839439,-0.13234077750206782,-0.16466302367941713,-0.14162348877374784,-0.1366920523335286,-0.13812154696132597,0.0,-0.1679790026246719,0.0,-0.11561461794019934,-0.4266666666666667,0.21748931710244312
96727,-0.10715175679043129,1.3515919205751452,1.8676592224979323,1.8222222222222222,1.848013816925734,1.5793790275336848,1.856353591160221,0.3333333333333333,1.5118110236220472,2.0,1.437873754152824,0.13333333333333333,-0.8633814355730675
96730,-0.18190879641166244,-0.22800410818212943,-0.12241521918941274,-0.09690346083788706,-0.0690846286701209,-0.04452255418863503,-0.08287292817679558,0.0,-0.09448818897637795,0.0,-0.06378737541528239,-0.18666666666666668,-0.5142316373364338
96743,-0.40617991527535585,-0.4115029099623417,-0.10256410256410256,-0.16830601092896175,-0.12780656303972365,-0.17652802187072839,-0.1270718232044199,0.0,-0.15223097112860892,0.0,-0.11428571428571428,-0.37333333333333335,0.6078428486831908
96770,0.45103413904809453,0.05203697363916462,-0.13234077750206782,-0.16320582877959927,-0.06563039723661486,0.6373755125951962,-0.12154696132596685,0.0,-0.16272965879265092,0.0,-0.09833887043189368,-0.29333333333333333,-0.36753071085156225
96772,-0.40617991527535585,0.22458062307428958,-0.009925558312655087,-0.06775956284153005,0.32124352331606215,0.6623706307361843,0.022099447513812154,0.0,-0.02099737532808399,0.16666666666666666,-0.01727574750830565,0.05333333333333334,-0.6958333738819878
96808,0.43608273112384827,0.7819239986306058,0.5789909015715468,0.7089253187613843,1.7962003454231434,1.0974419058777583,0.03867403314917127,0.0,0.23622047244094488,0.0,0.15946843853820597,0.16,-0.9138031798420123
96942,0.08472464490406195,1.1208490243067442,0.456575682382134,0.8750455373406193,0.13471502590673576,0.8412419449326304,1.856353591160221,2.0,0.9343832020997376,0.16666666666666666,1.1269102990033222,0.7466666666666667,-0.9876230729945659
96986,1.1537503114876673,-0.3224922971585074,-0.09594706368899918,-0.10491803278688525,-0.1381692573402418,-0.13825424721734036,-0.10497237569060773,0.0,-0.12598425196850394,0.0,-0.07840531561461794,-0.13333333333333333,-0.558561793899735
