UserID,clicks_in_last_90_articles,ActivityCentrality,ReceivedNegative,ReceivedPositive,VoteNegative,VotePositive,PostReplied,UserFollowed,GotPostReplied,GotFollowers,PostsAmount,TopicsPostedIn,MostPopularTopicPostsAmount,TopicsDiversity
272650,43.0,0.47808764940239046,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.718281828459045
273516,291.0,135.85657370517927,259.0,1301.0,144.0,710.0,136.0,5.0,169.0,2.0,451.0,53.0,57.0,1.1610076770353501
273866,251.0,2.4701195219123506,0.0,13.0,13.0,13.0,3.0,0.0,2.0,0.0,10.0,6.0,4.0,1.5168967963882134
274065,874.0,144.54183266932273,52.0,416.0,394.0,2377.0,136.0,1.0,69.0,2.0,286.0,39.0,83.0,1.0923741137445575
274518,291.0,11.872509960159363,10.0,52.0,74.0,94.0,2.0,0.0,6.0,0.0,18.0,8.0,11.0,1.226967225815787
275898,588.0,333.784860557769,559.0,4919.0,700.0,4389.0,679.0,0.0,292.0,3.0,1848.0,50.0,1061.0,1.0354489090789318
276006,56.0,38.72509960159363,4.0,118.0,21.0,450.0,18.0,31.0,14.0,34.0,53.0,17.0,15.0,1.2310200532180664
276321,527.0,81.83266932270917,44.0,265.0,154.0,992.0,34.0,0.0,35.0,0.0,115.0,28.0,15.0,1.3149643089907932
276407,355.0,136.41434262948206,252.0,1859.0,14.0,152.0,307.0,0.0,234.0,0.0,802.0,46.0,267.0,1.0674779511730708
276497,166.0,34.103585657370516,50.0,224.0,88.0,229.0,17.0,0.0,35.0,0.0,56.0,19.0,13.0,1.2544793773799532
276521,60.0,13.54581673306773,9.0,103.0,16.0,67.0,12.0,0.0,14.0,0.0,50.0,24.0,7.0,1.3466486811297576
276591,71.0,0.1593625498007968,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.718281828459045
277003,301.0,2.7888446215139444,0.0,10.0,14.0,26.0,3.0,1.0,5.0,0.0,6.0,2.0,4.0,2.117000016612675
277282,599.0,208.60557768924303,182.0,466.0,2811.0,5452.0,182.0,2.0,78.0,5.0,502.0,60.0,94.0,1.0930884086989012
278003,64.0,113.70517928286853,136.0,709.0,20.0,627.0,462.0,0.0,155.0,0.0,1040.0,54.0,222.0,1.0906277196710672
278647,83.0,2.6294820717131473,0.0,17.0,6.0,14.0,1.0,0.0,1.0,0.0,5.0,5.0,1.0,2.718281828459045
278705,56.0,0.47808764940239046,1.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,4.0,3.0,2.0,1.9477340410546757
279862,255.0,122.78884462151395,137.0,1841.0,41.0,147.0,123.0,0.0,178.0,1.0,409.0,52.0,76.0,1.109036813273543
283046,204.0,138.32669322709165,138.0,2180.0,85.0,232.0,47.0,0.0,168.0,1.0,320.0,41.0,100.0,1.081175397647056
283161,81.0,116.25498007968129,661.0,1660.0,36.0,63.0,124.0,0.0,296.0,1.0,718.0,60.0,79.0,1.1635512992510146
283864,354.0,163.02788844621514,380.0,2868.0,0.0,0.0,191.0,1.0,261.0,3.0,692.0,66.0,115.0,1.0954580600969694
284400,341.0,158.24701195219123,219.0,1645.0,148.0,649.0,521.0,0.0,226.0,1.0,1243.0,46.0,505.0,1.0549658474489008
284828,325.0,4.223107569721116,0.0,13.0,2.0,39.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.718281828459045
284939,225.0,14.422310756972113,8.0,130.0,8.0,40.0,9.0,0.0,10.0,0.0,41.0,17.0,11.0,1.2451441880410772
285580,78.0,74.42231075697211,199.0,1052.0,205.0,521.0,213.0,2.0,132.0,1.0,560.0,36.0,113.0,1.147585056684038
287614,248.0,230.67729083665338,594.0,2373.0,257.0,2129.0,396.0,0.0,288.0,1.0,1124.0,60.0,217.0,1.0901646338210227
289873,828.0,34.02390438247012,11.0,443.0,20.0,5.0,10.0,0.0,24.0,3.0,72.0,31.0,11.0,1.235089818560367
289988,364.0,32.98804780876495,2.0,69.0,66.0,360.0,31.0,0.0,6.0,2.0,81.0,26.0,8.0,1.4761289353305358
290198,174.0,22.62948207171315,12.0,24.0,27.0,267.0,5.0,12.0,5.0,0.0,19.0,9.0,6.0,1.4216978862071163
290266,22.0,9.00398406374502,7.0,22.0,27.0,92.0,10.0,0.0,7.0,0.0,19.0,9.0,6.0,1.4216978862071163
